score kills time
466.29 9 292
278.49 6 282
236.59 6 302
101.28 2 125
61.52 2 133
64.53 2 150
86.52 2 133
105.07 2 168
152.21 4 156
285.61 6 186
241.79 5 142
21.13 1 120
-64.71 0 92
207.27 5 158
311.36 6 211
232.9 5 179
230.19 5 172
275.99 6 282
96.19 2 122
154.98 4 165
78.93 2 130
235.52 6 183
301.06 7 201
66.22 2 123
80.55 3 184
183.77 5 208
253.59 6 202
376.06 7 201
-22.19 0 176
-82.85 0 154
117.96 3 181
306.69 6 222
66.43 2 130
138.33 4 110
327.26 6 241
234.8 5 159
111.48 3 215
283.32 6 193
330.67 6 188
342.24 7 157
232.51 5 166
291.66 6 221
49.2 2 139
460.44 9 347
473.53 10 200
222.03 6 150
3.51 1 116
288.62 6 203
62.0 2 149
367.99 7 182
176.1 4 119
-1.34 1 121
273.2 6 189
235.91 5 196
124.56 3 151
191.72 5 223
287.11 5 236
419.61 8 236
476.47 9 298
233.23 5 190
225.4 5 179
214.5 4 149
-9.24 1 191
202.69 5 172
303.49 6 282
118.51 3 117
14.08 1 135
99.14 2 137
235.28 5 175
252.3 5 159
602.86 11 261
219.89 5 162
330.55 6 184
338.02 7 183
-33.25 1 224
49.65 2 154
282.33 6 160
337.54 7 167
280.62 5 853
282.15 6 154
181.79 4 142
11.34 1 127
26.61 1 136
353.14 7 187
318.29 6 192
290.52 6 183
992.12 18 403
364.52 7 233
253.26 5 191
172.06 4 151
594.64 11 237
158.39 3 112
400.06 8 251
280.16 6 171
163.84 3 127
176.61 4 136
288.8 6 209
163.6 4 119
175.92 4 113
261.82 5 143
237.18 5 155
149.41 4 146
245.24 5 257
391.69 7 222
496.86 10 311
-11.56 1 197
274.73 6 240
196.67 5 139
350.4 8 179
397.47 8 248
309.92 6 163
-83.6 0 129
346.81 7 226
255.91 5 196
179.11 4 136
126.49 3 132
137.48 3 165
67.7 2 89
239.65 5 154
237.48 5 165
328.23 7 190
240.16 5 171
171.34 4 127
244.2 5 139
173.36 4 111
42.69 2 172
225.55 5 184
171.43 4 130
489.48 9 315
98.48 3 115
-82.91 0 152
169.05 4 134
189.86 4 161
306.09 7 202
329.85 7 244
235.4 5 179
270.88 5 195
163.69 4 122
